date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:58:06	13509/13509	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:08%20GMT	http://www.pof-1.com/page/482275918	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/page/482275918.html	(from http://www.pof-1.com/)
01:58:06	1470/1470	---M--	200	added ('OK')	image/png	date:Thu,%2024%20May%202018%2013:52:00%20GMT	http://www.pof-1.com/oslo/tabitem.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&frame.fill.gradient.start.color=dfe6f8&frame.fill.gradient.end.color=b2c2ee&border.fill.color=001141&width=200&label.text=CONTACT+US&context.state=ddd&font=Zurich&fontsize=11&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/tabitemaaa7.png	(from http://www.pof-1.com/)
01:58:06	14261/14261	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:08%20GMT	http://www.pof-1.com/page/482279654	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/page/482279654.html	(from http://www.pof-1.com/)
01:58:06	1652/1652	---M--	200	added ('OK')	image/png	date:Thu,%2024%20May%202018%2012:53:04%20GMT	http://www.pof-1.com/oslo/tabitem.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&frame.fill.gradient.start.color=dfe6f8&frame.fill.gradient.end.color=b2c2ee&border.fill.color=001141&width=200&label.text=WHO+WE+SERVE&context.state=ddd&font=Zurich&fontsize=11&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/tabitem4b0a.png	(from http://www.pof-1.com/)
01:58:07	17140/17140	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:09%20GMT	http://www.pof-1.com/page/482275938	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/page/482275938.html	(from http://www.pof-1.com/)
01:58:07	2092/2092	---M--	200	added ('OK')	image/png	date:Thu,%2024%20May%202018%2013:01:43%20GMT	http://www.pof-1.com/oslo/tabitem.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&frame.fill.gradient.start.color=dfe6f8&frame.fill.gradient.end.color=b2c2ee&border.fill.color=001141&width=200&label.text=RECENT+TRANSACTIONS&context.state=ddd&font=Zurich&fontsize=11&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/tabiteme5e9.png	(from http://www.pof-1.com/)
01:58:07	15067/15067	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:09%20GMT	http://www.pof-1.com/page/482281738	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/page/482281738.html	(from http://www.pof-1.com/)
01:58:07	1625/1625	---M--	200	added ('OK')	image/png	date:Tue,%2015%20May%202018%2012:17:40%20GMT	http://www.pof-1.com/oslo/tabitem.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&frame.fill.gradient.start.color=dfe6f8&frame.fill.gradient.end.color=b2c2ee&border.fill.color=001141&width=200&label.text=SPECIAL+DEALS&context.state=ddd&font=Zurich&fontsize=11&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/tabitem441f.png	(from http://www.pof-1.com/)
01:58:07	17331/17331	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:10%20GMT	http://www.pof-1.com/page/496271584	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/page/496271584.html	(from http://www.pof-1.com/)
01:58:08	1992/1992	---M--	200	added ('OK')	image/png	date:Fri,%2025%20May%202018%2018:54:43%20GMT	http://www.pof-1.com/oslo/tabitem.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&frame.fill.gradient.start.color=dfe6f8&frame.fill.gradient.end.color=b2c2ee&border.fill.color=001141&width=200&label.text=HOW+TO+START+A+BANK&context.state=ddd&font=Zurich&fontsize=11&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/tabitem2d18.png	(from http://www.pof-1.com/)
01:58:08	13634/13634	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:10%20GMT	http://www.pof-1.com/page/496357584	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/page/496357584.html	(from http://www.pof-1.com/)
01:58:08	1036/1036	---M--	200	added ('OK')	image/png	date:Fri,%2025%20May%202018%2018:54:43%20GMT	http://www.pof-1.com/oslo/tabitem.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&frame.fill.gradient.start.color=dfe6f8&frame.fill.gradient.end.color=b2c2ee&border.fill.color=001141&width=200&label.text=MT799&context.state=ddn&font=Zurich&fontsize=11&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/tabitemf947.png	(from http://www.pof-1.com/)
